GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
room-service,com.example.company.roomservice.data,RoomDto.RoomDtoBuilder,10,35,0,0,0,1,1,6,1,6
room-service,com.example.company.roomservice.data,RoomDto,16,31,0,0,0,5,1,6,1,6
room-service,com.example.company.roomservice.data,Room,3,28,0,0,1,5,1,8,1,8
room-service,com.example.company.roomservice.conversion,RoomToRoomDto,15,3,0,0,6,1,1,1,1,1
room-service,com.example.company.roomservice.config,ConverterConfig,0,14,0,0,0,4,0,2,0,2
room-service,com.example.company.roomservice.api,RoomController,0,31,0,0,0,10,0,6,0,6
room-service,com.example.company.roomservice.service,RoomService,21,102,0,0,3,22,2,7,2,7
room-service,com.example.company.roomservice.error,BadRequestException,16,0,0,0,8,0,4,0,4,0
room-service,com.example.company.roomservice.error,NotFoundException,12,4,0,0,6,2,3,1,3,1
room-service,com.example.company.roomservice,RoomServiceApplication,9,3,0,0,4,1,2,1,2,1
